day	presents
0	0
1	1
2	4
3	10
4	20
5	35
6	56
7	84
8	120
9	165
10	220
11	286
12	364
13	455
14	560
15	680
16	816
17	969
18	1140
19	1330
20	1540
21	1771
22	2024
23	2300
24	2600
25	2925
26	3276
27	3654
28	4060
29	4495
30	4960
31	5456
32	5984
33	6545
34	7140
35	7770
36	8436
37	9139
38	9880
39	10660
40	11480
41	12341
42	13244
43	14190
44	15180
45	16215
46	17296
47	18424
48	19600
49	20825
50	22100
51	23426
52	24804
53	26235
54	27720
55	29260
56	30856
57	32509
58	34220
59	35990
60	37820
61	39711
62	41664
63	43680
64	45760
65	47905
66	50116
67	52394
68	54740
69	57155
70	59640
71	62196
72	64824
73	67525
74	70300
75	73150
76	76076
77	79079
78	82160
79	85320
80	88560
81	91881
82	95284
83	98770
84	102340
85	105995
86	109736
87	113564
88	117480
89	121485
90	125580
91	129766
92	134044
93	138415
94	142880
95	147440
96	152096
97	156849
98	161700
99	166650
